image,folio,side,scribe,mixed,source
KB129A10__085.jpg,043,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__086.jpg,044,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__087.jpg,044,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__088.jpg,045,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__089.jpg,045,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__090.jpg,046,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__091.jpg,046,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__094.jpg,048,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__095.jpg,048,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__096.jpg,049,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__097.jpg,049,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__100.jpg,051,r,C,0,spl2018scribes-xml/verse-interp
KB129A10__101.jpg,051,v,C,0,spl2018scribes-xml/verse-interp
KB129A10__102.jpg,052,r,C,0,spl2018scribes-xml/verse-interp
KB129A10__103.jpg,052,v,C,0,spl2018scribes-xml/verse-interp
KB129A10__104.jpg,053,r,C,0,spl2018scribes-xml/verse-interp
KB129A10__105.jpg,053,v,C,0,spl2018scribes-xml/verse-interp
KB129A10__106.jpg,054,r,C,0,spl2018scribes-xml/verse-interp
KB129A10__107.jpg,054,v,C,0,spl2018scribes-xml/verse-interp
KB129A10__108.jpg,055,r,C,0,spl2018scribes-xml/verse-interp
KB129A10__109.jpg,055,v,C,0,spl2018scribes-xml/verse-interp
KB129A10__110.jpg,056,r,C,0,spl2018scribes-xml/verse-interp
KB129A10__111.jpg,056,v,C,0,spl2018scribes-xml/verse-interp
KB129A10__112.jpg,057,r,C,0,spl2018scribes-xml/verse-interp
KB129A10__113.jpg,057,v,C,0,spl2018scribes-xml/verse-interp
KB129A10__114.jpg,058,r,C,0,spl2018scribes-xml/verse-interp
KB129A10__115.jpg,058,v,C,0,spl2018scribes-xml/verse-interp
KB129A10__116.jpg,059,r,C,0,spl2018scribes-xml/verse-interp
KB129A10__117.jpg,059,v,C,0,spl2018scribes-xml/verse-interp
KB129A10__118.jpg,060,r,C,0,spl2018scribes-xml/verse-interp
KB129A10__119.jpg,060,v,C,0,spl2018scribes-xml/verse-interp
KB129A10__120.jpg,061,r,C,0,spl2018scribes-xml/verse-interp
KB129A10__121.jpg,061,v,C,0,spl2018scribes-xml/verse-interp
KB129A10__122.jpg,062,r,C,0,spl2018scribes-xml/verse-interp
KB129A10__123.jpg,062,v,C,0,spl2018scribes-xml/verse-interp
KB129A10__126.jpg,064,r,C,0,spl2018scribes-xml/verse-interp
KB129A10__127.jpg,064,v,C,0,spl2018scribes-xml/verse-interp
KB129A10__128.jpg,065,r,C,0,spl2018scribes-xml/verse-interp
KB129A10__129.jpg,065,v,C,0,spl2018scribes-xml/verse-interp
KB129A10__130.jpg,066,r,C,0,spl2018scribes-xml/verse-interp
KB129A10__131.jpg,066,v,C,0,spl2018scribes-xml/verse-interp
KB129A10__132.jpg,067,r,C,0,spl2018scribes-xml/verse-interp
KB129A10__133.jpg,067,v,C,0,spl2018scribes-xml/verse-interp
KB129A10__134.jpg,068,r,C,0,spl2018scribes-xml/verse-interp
KB129A10__135.jpg,068,v,C,0,spl2018scribes-xml/verse-interp
KB129A10__138.jpg,070,r,D,0,spl2018scribes-xml/verse-interp
KB129A10__139.jpg,070,v,D,0,spl2018scribes-xml/verse-interp
KB129A10__140.jpg,071,r,D,0,spl2018scribes-xml/verse-interp
KB129A10__141.jpg,071,v,D,0,spl2018scribes-xml/verse-interp
KB129A10__142.jpg,072,r,D,0,spl2018scribes-xml/verse-interp
KB129A10__143.jpg,072,v,D,0,spl2018scribes-xml/verse-interp
KB129A10__144.jpg,073,r,D,0,spl2018scribes-xml/verse-interp
KB129A10__145.jpg,073,v,D,0,spl2018scribes-xml/verse-interp
KB129A10__146.jpg,074,r,D,0,spl2018scribes-xml/verse-interp
KB129A10__147.jpg,074,v,D,0,spl2018scribes-xml/verse-interp
KB129A10__148.jpg,075,r,D,0,spl2018scribes-xml/verse-interp
KB129A10__149.jpg,075,v,D,0,spl2018scribes-xml/verse-interp
KB129A10__150.jpg,076,r,D,0,spl2018scribes-xml/verse-interp
KB129A10__151.jpg,076,v,D,0,spl2018scribes-xml/verse-interp
KB129A10__152.jpg,077,r,D,0,spl2018scribes-xml/verse-interp
KB129A10__153.jpg,077,v,D,0,spl2018scribes-xml/verse-interp
KB129A10__154.jpg,078,r,D,0,spl2018scribes-xml/verse-interp
KB129A10__155.jpg,078,v,D,0,spl2018scribes-xml/verse-interp
KB129A10__156.jpg,079,r,D,0,spl2018scribes-xml/verse-interp
KB129A10__157.jpg,079,v,D,0,spl2018scribes-xml/verse-interp
KB129A10__158.jpg,080,r,D,0,spl2018scribes-xml/verse-interp
KB129A10__159.jpg,080,v,D,0,spl2018scribes-xml/verse-interp
KB129A10__160.jpg,081,r,D,0,spl2018scribes-xml/verse-interp
KB129A10__161.jpg,081,v,D,0,spl2018scribes-xml/verse-interp
KB129A10__162.jpg,082,r,D,0,spl2018scribes-xml/verse-interp
KB129A10__163.jpg,082,v,D,0,spl2018scribes-xml/verse-interp
KB129A10__164.jpg,083,r,D,0,spl2018scribes-xml/verse-interp
KB129A10__165.jpg,083,v,D,0,spl2018scribes-xml/verse-interp
KB129A10__166.jpg,084,r,D,0,spl2018scribes-xml/verse-interp
KB129A10__167.jpg,084,v,D,0,spl2018scribes-xml/verse-interp
KB129A10__168.jpg,085,r,D,0,spl2018scribes-xml/verse-interp
KB129A10__169.jpg,085,v,D,0,spl2018scribes-xml/verse-interp
KB129A10__170.jpg,086,r,D,0,spl2018scribes-xml/verse-interp
KB129A10__171.jpg,086,v,D,0,spl2018scribes-xml/verse-interp
KB129A10__174.jpg,088,r,E,0,spl2018scribes-xml/verse-interp
KB129A10__175.jpg,088,v,E,0,spl2018scribes-xml/verse-interp
KB129A10__176.jpg,089,r,E,0,spl2018scribes-xml/verse-interp
KB129A10__177.jpg,089,v,E,0,spl2018scribes-xml/verse-interp
KB129A10__178.jpg,090,r,E,0,spl2018scribes-xml/verse-interp
KB129A10__179.jpg,090,v,E,0,spl2018scribes-xml/verse-interp
KB129A10__180.jpg,091,r,E,0,spl2018scribes-xml/verse-interp
KB129A10__181.jpg,091,v,E,0,spl2018scribes-xml/verse-interp
KB129A10__182.jpg,092,r,E,0,spl2018scribes-xml/verse-interp
KB129A10__183.jpg,092,v,E,0,spl2018scribes-xml/verse-interp
KB129A10__184.jpg,093,r,E,0,spl2018scribes-xml/verse-interp
KB129A10__185.jpg,093,v,E,0,spl2018scribes-xml/verse-interp
KB129A10__186.jpg,094,r,E,0,spl2018scribes-xml/verse-interp
KB129A10__187.jpg,094,v,E,0,spl2018scribes-xml/verse-interp
KB129A10__188.jpg,095,r,E,0,spl2018scribes-xml/verse-interp
KB129A10__189.jpg,095,v,E,0,spl2018scribes-xml/verse-interp
KB129A10__190.jpg,096,r,E,0,spl2018scribes-xml/verse-interp
KB129A10__191.jpg,096,v,E,0,spl2018scribes-xml/verse-interp
KB129A10__192.jpg,097,r,E,0,spl2018scribes-xml/verse-interp
KB129A10__193.jpg,097,v,E,0,spl2018scribes-xml/verse-interp
KB129A10__194.jpg,098,r,E,0,spl2018scribes-xml/verse-interp
KB129A10__195.jpg,098,v,E,0,spl2018scribes-xml/verse-interp
KB129A10__198.jpg,100,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__199.jpg,100,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__200.jpg,101,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__201.jpg,101,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__202.jpg,102,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__203.jpg,102,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__204.jpg,103,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__205.jpg,103,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__206.jpg,104,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__207.jpg,104,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__208.jpg,105,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__209.jpg,105,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__210.jpg,106,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__211.jpg,106,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__212.jpg,107,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__213.jpg,107,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__214.jpg,108,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__215.jpg,108,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__216.jpg,109,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__217.jpg,109,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__218.jpg,110,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__219.jpg,110,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__220.jpg,111,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__221.jpg,111,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__222.jpg,112,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__223.jpg,112,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__224.jpg,113,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__225.jpg,113,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__226.jpg,114,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__227.jpg,114,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__228.jpg,115,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__229.jpg,115,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__230.jpg,116,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__231.jpg,116,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__232.jpg,117,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__233.jpg,117,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__234.jpg,118,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__235.jpg,118,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__236.jpg,119,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__237.jpg,119,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__238.jpg,120,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__239.jpg,120,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__240.jpg,121,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__241.jpg,121,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__242.jpg,122,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__243.jpg,122,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__244.jpg,123,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__245.jpg,123,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__246.jpg,124,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__247.jpg,124,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__248.jpg,125,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__249.jpg,125,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__250.jpg,126,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__251.jpg,126,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__252.jpg,127,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__253.jpg,127,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__254.jpg,128,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__255.jpg,128,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__256.jpg,129,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__257.jpg,129,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__258.jpg,130,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__259.jpg,130,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__260.jpg,131,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__261.jpg,131,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__262.jpg,132,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__263.jpg,132,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__264.jpg,133,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__265.jpg,133,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__266.jpg,134,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__267.jpg,134,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__268.jpg,135,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__269.jpg,135,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__270.jpg,136,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__271.jpg,136,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__272.jpg,137,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__273.jpg,137,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__274.jpg,138,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__275.jpg,138,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__276.jpg,139,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__277.jpg,139,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__278.jpg,140,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__279.jpg,140,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__280.jpg,141,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__281.jpg,141,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__282.jpg,142,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__283.jpg,142,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__284.jpg,143,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__285.jpg,143,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__286.jpg,144,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__287.jpg,144,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__288.jpg,145,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__289.jpg,145,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__290.jpg,146,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__291.jpg,146,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__292.jpg,147,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__293.jpg,147,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__294.jpg,148,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__295.jpg,148,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__296.jpg,149,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__297.jpg,149,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__298.jpg,150,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__299.jpg,150,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__300.jpg,151,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__301.jpg,151,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__302.jpg,152,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__303.jpg,152,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__304.jpg,153,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__305.jpg,153,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__306.jpg,154,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__307.jpg,154,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__308.jpg,155,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__309.jpg,155,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__310.jpg,156,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__311.jpg,156,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__312.jpg,157,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__313.jpg,157,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__314.jpg,158,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__315.jpg,158,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__316.jpg,159,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__317.jpg,159,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__318.jpg,160,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__319.jpg,160,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__320.jpg,161,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__321.jpg,161,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__322.jpg,162,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__323.jpg,162,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__324.jpg,163,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__325.jpg,163,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__326.jpg,164,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__327.jpg,164,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__328.jpg,165,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__329.jpg,165,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__330.jpg,166,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__331.jpg,166,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__332.jpg,167,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__333.jpg,167,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__334.jpg,168,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__335.jpg,168,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__336.jpg,169,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__337.jpg,169,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__338.jpg,170,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__339.jpg,170,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__340.jpg,171,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__341.jpg,171,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__342.jpg,172,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__343.jpg,172,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__344.jpg,173,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__345.jpg,173,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__346.jpg,174,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__347.jpg,174,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__348.jpg,175,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__349.jpg,175,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__350.jpg,176,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__351.jpg,176,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__352.jpg,177,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__353.jpg,177,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__354.jpg,178,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__355.jpg,178,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__356.jpg,179,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__357.jpg,179,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__358.jpg,180,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__359.jpg,180,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__360.jpg,181,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__361.jpg,181,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__362.jpg,182,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__363.jpg,182,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__364.jpg,183,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__365.jpg,183,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__366.jpg,184,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__367.jpg,184,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__368.jpg,185,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__369.jpg,185,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__370.jpg,186,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__371.jpg,186,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__372.jpg,187,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__373.jpg,187,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__374.jpg,188,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__375.jpg,188,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__376.jpg,189,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__377.jpg,189,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__378.jpg,190,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__379.jpg,190,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__380.jpg,191,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__381.jpg,191,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__382.jpg,192,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__383.jpg,192,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__384.jpg,193,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__385.jpg,193,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__386.jpg,194,r,B,0,spl2018scribes-xml/verse-interp
KB129A10__387.jpg,194,v,B,0,spl2018scribes-xml/verse-interp
KB129A10__388.jpg,195,r,B,0,spl2018scribes-xml/verse-interp
